Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
437.26383566856384	1380	336.5323030338742	16.662198799785564	393.25538106290185	318.91417892938205	22080000
440.4114143848419	1390	343.49953947447017	1.8804989443570637	347.2356471189769	340.0864163897754	22240000
443.83348202705383	1400	338.15322727152613	12.892834161785796	361.8762881773914	303.40451892172666	22400000
447.00624656677246	1410	362.77621558048963	0.9299660973176699	364.9015983786493	360.9550719169315	22560000
450.1380412578583	1420	400.6953474970651	31.727486292392594	462.8637800241886	327.2970582343789	22720000
453.3428659439087	1430	391.59663395185135	18.72478579170667	497.37791746294425	380.9512401068449	22880000
456.51571249961853	1440	433.272247851268	15.989622492361868	464.5503957229905	414.3161483404616	23040000
459.6603374481201	1450	351.96032627915446	2.2554292332867076	357.0063933086193	348.2637693158691	23200000
462.7916808128357	1460	353.10878177157525	25.018873469004333	416.6718150924812	296.056654344357	23360000
465.92740774154663	1470	414.5715837231972	2.180337573805343	417.2585644895714	410.29038885646287	23520000
469.10246229171753	1480	356.13554287947477	14.591482931245254	400.8412134284332	342.8053051902516	23680000
472.24511432647705	1490	439.263297809647	34.10564742940323	472.26837259305853	358.3172889031778	23840000
475.38631892204285	1500	438.7576246030028	5.531524586574089	452.48688963559874	433.5646926765938	24000000
478.5869312286377	1510	357.7239220058073	15.068334359811438	406.28051231543674	314.8770553797182	24160000
482.01411056518555	1520	420.66760527647057	2.0294518047646815	424.0506913804196	416.7681314079355	24320000
485.5303735733032	1530	294.67506066768345	9.15921968319076	325.2322428951458	283.22601490738305	24480000
489.09667444229126	1540	341.41678790640594	6.162786509837402	359.6491269221471	331.34364963737414	24640000
493.1669657230377	1550	329.48767791677403	3.4816713863167794	337.2445415049852	322.7652017927246	24800000
496.8107330799103	1560	351.2877896127077	3.2331838747908663	355.5900327309843	343.92265378392483	24960000
500.1276617050171	1570	451.2972460725052	2.570301980431297	456.4938378992906	445.079381539296	25120000
503.4907822608948	1580	400.5895862663604	5.582769056246179	405.74388916502727	379.4967289547419	25280000
506.77699637413025	1590	410.7557825594836	3.594381158741279	416.6142261556717	403.8710695124655	25440000
510.3804259300232	1600	413.31799496585955	6.143600100843279	464.2653765473683	408.72344728303403	25600000
514.2513966560364	1610	415.7380767071944	2.1681884566454803	419.89328478633007	411.17286925953806	25760000
518.1009674072266	1620	411.22208575986605	7.257694568515473	418.0350108537896	367.96681156815526	25920000
521.8404376506805	1630	406.8550631387682	11.909942890606418	449.4611696413849	387.1284993449562	26080000
525.7150323390961	1640	358.8221387753467	2.1054067902236313	362.5529826541028	353.64821586859296	26240000
529.0298533439636	1650	470.63273099534837	2.251497330927014	476.59814633621255	466.2589672377721	26400000
532.6822421550751	1660	378.33547030265413	59.64881196221406	474.86534827094977	289.2367872936047	26560000
536.0286602973938	1670	404.33858578443227	52.47035667244365	479.92350262204707	311.6992049157883	26720000
539.4294459819794	1680	433.5299689141095	0.8196334850249319	435.46623048752485	432.3041743266076	26880000
542.7074875831604	1690	373.8799334177253	1.987083884723759	376.4751928569988	369.8888991476403	27040000
546.0483062267303	1700	472.4243942598061	21.954915814230496	486.89683679615973	426.1415683622532	27200000
549.750571012497	1710	375.43223889304664	2.084911009507133	379.6128610359969	372.6829880712766	27360000
553.201771736145	1720	353.81881197235447	31.110013310862076	482.50177141238976	327.93830115921605	27520000
556.6343703269958	1730	399.3418548419624	37.58643403663993	465.0601260658116	354.94843014900016	27680000
560.0555448532104	1740	453.56459719342877	15.59198529653445	498.26697745142707	433.3024092581308	27840000
563.5988335609436	1750	347.0541661410245	1.245635092196275	349.09505422261634	344.67395808458826	28000000
567.4497196674347	1760	364.9336960056184	33.78616500682361	422.3219033646976	240.7968061462736	28160000
571.1541564464569	1770	385.3691785616304	28.838580708954378	450.5858451928881	287.37157698825126	28320000
574.6663734912872	1780	450.6851835774563	16.54187630837957	511.8889529661123	424.2838727860245	28480000
578.0877153873444	1790	445.08878843660284	11.995028567527383	457.09298759014206	425.63420254689765	28640000
582.1314043998718	1800	403.3500618324584	1.303991797254212	406.0284051749905	401.8378825729282	28800000
585.7181577682495	1810	390.5140193468305	1.1789469780256743	397.5596869781488	389.5551678030797	28960000
589.3844933509827	1820	440.6300971764729	2.0867244552425053	444.5085844273334	437.35585064183704	29120000
592.8517940044403	1830	405.4467660374397	6.995439287949045	421.9526310869872	383.4868627945626	29280000
596.215943813324	1840	412.8751125669051	2.876458661107125	418.2779912110399	409.00369666490946	29440000
599.71919465065	1850	435.1645575785033	1.172345693993442	437.5082098017547	433.7919082509392	29600000
